NEA_GrantNumber,NEA_FiscalYear,NEA_Office,NEA_Grantee,NEA_GranteeWebsite,NEA_GranteeAddressLine1,NEA_GranteeAddressLine2,NEA_GranteeCity,NEA_GranteeState,NEA_GranteeZipcode,NEA_GranteeLatitude,NEA_GranteeLongitude
11-7200-7002,2011,Artist Communities,18th Street Arts Complex (aka: 18th Street Arts Center),,1639 18th Street,,Santa Monica,CA,90404-3807,34.023447,-118.477571
11-3100-7009,2011,Music,"Post-Classical Ensemble, Inc. (aka: PostClassical Ensemble)",post-classicalensemble.org,"5104 44th Street, NW",,Washington,DC,20016-4039,38.956104,-77.086252
11-3300-7007,2011,Dance,"Keigwin and Company, Inc. (aka: Keigwin + Company)",,246 West 38th Street,8th Floor,New York,NY,10018-6508,40.754074,-73.990141
11-3100-7010,2011,Music,"Crossing, Inc. (aka: The Crossing)",www.crossingchoir.com,1417 N. 2nd Street,Studio 22A,Philadelphia,PA,19122-3801,39.972655,-75.138849
11-5400-7003,2011,Presenting,Spoleto Festival USA,www.spoletousa.org,14 George Street,,Charleston,SC,29401-1524,32.785487,-79.932501
11-3100-7011,2011,Music,Handel & Haydn Society,handelandhaydn.org,300 Massachusetts Avenue,,Boston,MA,02115-4555,42.343332,-71.085712
11-4400-7003,2011,Museum,Pierpont Morgan Library (aka: The Morgan Library & Museum),www.themorgan.org,225 Madison Avenue,,New York,NY,10016-3405,40.749366,-73.981794
11-5200-7031,2011,Literature,"Small Press Distribution, Inc. (aka: SPD)",spdbooks.org,1341 7th Street,,Berkeley,CA,94710-1409,37.878831,-122.300031
11-7200-7003,2011,Artist Communities,Kala Institute (aka: Kala Art Institute),www.kala.org,1060 Heinz Avenue,,Berkeley,CA,94710-2719,37.854235,-122.288095
11-5200-7032,2011,Literature,"Southern Poetry Review, Inc.",www.southernpoetryreview.org,Armstrong Atlantic State Univ.,11935 Abercorn St.,Savannah,GA,31419-1909,31.98823,-81.21506
11-5200-7033,2011,Literature,"CALYX, Inc. (aka: CALYX, A Journal of Art & Literature by Women)",www.calyxpress.org,PO Box B,,Corvallis,OR,97339-0539,44.561867,-123.260958
11-4400-7004,2011,Museum,"American Association of Museums (aka: American Alliance of Museums, AAM)",www.aam-us.org,1575 Eye St NW,Suite 400,Washington,DC,20005-1105,38.901333,-77.035772
11-4200-7001,2011,Design,"New York Foundation for Architecture, Inc. (aka: Center for Architecture Foundation)",,536 LaGuardia Place,,New York,NY,10012-1401,40.728564,-73.998551
11-3200-7002,2011,Theater,Oregon Shakespeare Festival Association (aka: Oregon Shakespeare Festival),www.osfashland.org,Post Office Box 158,15 South Pioneer Street,Ashland,OR,97520-2749,42.196254,-122.714323
11-3400-7003,2011,Media Arts,SIFF (aka: Seattle International Film Festival),www.siff.net,305 Harrison St,,Seattle,WA,98109-4623,47.622089,-122.348514
11-5500-7003,2011,Folk & Traditional Arts,Washington State Parks and Recreation Commission (aka: Washington State parks),www.parks.wa.gov,PO Box 42650,1111 Israel Rd SW,Olympia,WA,98504-2650,47.037404,-122.895821
11-3400-7004,2011,Media Arts,Center for Asian American Media (aka: CAAM),,"145 Ninth Street, Suite 350",,San Francisco,CA,94103-2641,37.775598,-122.413906
11-4400-7006,2011,Museum,"International Foundation for Art Research, Inc. (aka: IFAR)",,500 Fifth Avenue,Suite 935,New York,NY,10110-0902,40.753555,-73.980847
11-2800-7002,2011,Musical Theater,Village Theatre,www.villagetheatre.org,303 Front Street North,,Issaquah,WA,98027-2917,47.533025,-122.036484
11-3200-7003,2011,Theater,Ensemble Theatre of Cincinnati (aka: Ensemble Theatre Cincinnati),,1127 Vine Street,,Cincinnati,OH,45202-7226,39.107581,-84.514612
11-3600-7001,2011,Opera,Tacoma Opera Association (aka: Tacoma Opera),www.tacomaopera.com,"1119 Pacific Ave., Suite 405",,Tacoma,WA,98402-4421,47.253138,-122.43853
11-5200-7042,2011,Literature,"Four Way Books, Inc.",www.fourwaybooks.com,11 Jay St.,4th Floor,New York,NY,10013-2847,40.718003,-74.009602
11-7200-7004,2011,Artist Communities,"MacDowell Colony, Inc. (aka: The MacDowell Colony)",www.macdowellcolony.org,100 High Street,,Peterborough,NH,03458-2485,42.883593,-71.955556
11-3100-7012,2011,Music,"Young Concert Artists, Inc.",www.yca.org,250 W. 57th Street,Suite 1222,New York,NY,10107-1218,40.766413,-73.982205
11-7200-7005,2011,Artist Communities,"Fine Arts Work Center in Provincetown, Inc. (aka: FAWC)",www.fawc.org,24 Pearl Street,,Provincetown,MA,02657-1504,42.055621,-70.184075
11-3200-7004,2011,Theater,"PlayPenn, Inc.",www.playpenn.org,220 W. Evergreen Ave. #D2,,Philadelphia,PA,19118-3856,40.073622,-75.210381
11-3100-7013,2011,Music,Youth Choral Theater of Chicago,www.youthchoraltheater.org,"708 Church Street, Suite 203",,Evanston,IL,60201-3875,42.048298,-87.680982
11-4400-7007,2011,Museum,Trustees of Boston College,www.bc.edu,140 Commonwealth Avenue,Office for Sponsored Programs,Chestnut Hill,MA,02467-3800,42.337688,-71.171488
11-3200-7005,2011,Theater,Theater Mu Incorporated (aka: Mu Performing Arts),www.muperformingarts.org,355 Wabasha Street North,Suite 140,St. Paul,MN,55102-1417,44.945356,-93.094174
11-3100-7014,2011,Music,"National Repertory Orchestra, Inc. Colorado Philharmonic (aka: NRO)",www.nromusic.com,111 S. Main Street,P.O. Box 6336,Breckenridge,CO,80424-6336,39.481978,-106.046171
11-7200-7006,2011,Artist Communities,Bemis Center for Contemporary Arts,,724 S 12th St,,Omaha,NE,68102-3202,41.253058,-95.93194
11-5500-7004,2011,Folk & Traditional Arts,"Eldridge Street Project, Inc. (aka: Museum at Eldridge Street)",,Museum at Eldridge Street,12 Eldridge Street,New York,NY,10002-6204,40.717129,-73.988004
11-3600-7002,2011,Opera,Toledo Opera Association (aka: Toledo Opera),www.toledoopera.org,425 Jefferson Ave.,Suite 601,Toledo,OH,43604-1080,41.650166,-83.536203
11-4100-7001,2011,Visual Arts,Archie Bray Foundation (aka: Archie Bray Foundation (the Bray)),www.archiebray.org,2915 Country Club Avenue,,Helena,MT,59602-9240,46.615898,-112.08073
11-5200-7045,2011,Literature,"BOA Editions, Ltd.",www.boaeditions.org,250 North Goodman Street,Suite 306,Rochester,NY,14607-1198,43.158361,-77.585522
11-3300-7008,2011,Dance,San Francisco Ballet Association (aka: San Francisco Ballet),www.sfballet.org,455 Franklin Street,,San Francisco,CA,94102-4438,37.778524,-122.421649
11-3200-7006,2011,Theater,Denver Center for the Performing Arts (aka: Denver Center Theatre),www.denvercenter.org,1101 13th Street,,Denver,CO,80204-5319,39.744642,-104.998594
11-3100-7015,2011,Music,Los Angeles Philharmonic Association,www.laphil.com,151 South Grand Avenue,,Los Angeles,CA,90012-3034,34.055319,-118.249041
11-5200-7051,2011,Literature,Bard College,www.bard.edu (www.conjuntions.com),Office of Program Development,P.O. Box 5000,Annandale-Hudson,NY,12504-5000,41.998405,-73.873363
11-3100-7017,2011,Music,"Chamber Music Conference and Composers' Forum of the East (aka: ""Bennington CHamber Music Conference"" or ""CMC)",cmceast.org,900 West 190th Street,#11-O,New York,NY,10040-3666,40.857117,-73.935705
11-5200-7052,2011,Literature,Colorado State University,www.colostate.edu/,Office of Sponsored Programs,"601 S. Howes St., RM 408",Fort Collins,CO,80523-2002,40.574754,-105.08028
11-5200-7053,2011,Literature,President & Fellows of Middlebury College,www.middlebury.edu,Old Chapel Building,,Middlebury,VT,05753-6161,44.008806,-73.17633
11-3600-7003,2011,Opera,Opera Southwest,www.operasouthwest.org,PO BOX 27671,,Albuquerque,NM,87125-7671,35.093748,-106.642701
11-6200-7003,2011,Local Arts Agencies,"Ink People, Inc. (aka: The Ink People Center for the Arts)",inkpeople.org,"517 3rd St., Ste. 36",,Eureka,CA,95501-0460,40.803647,-124.166187
11-3600-7004,2011,Opera,Intermountain Opera Association of Bozeman (aka: Intermountain Opera Bozeman),www.intermountainopera.org,PO Box 37,,Bozeman,MT,59771-0037,45.678273,-111.036444
11-5200-7054,2011,Literature,"Archipelago Books, Inc.",www.archipelagobooks.org,232 Third St. #A111,,Brooklyn,NY,11215-2708,40.674953,-73.987786
11-3300-7009,2011,Dance,CounterPulse,www.counterpulse.org,1310 Mission Street,,San Francisco,CA,94103-2609,37.776083,-122.414916
11-7200-7007,2011,Artist Communities,Montalvo Association (aka: Montalvo Arts Center),montalvoarts.org,P.O. Box 158,,Saratoga,CA,95071-0154,37.266823,-122.014721
11-5400-7004,2011,Presenting,Broadway Center for the Performing Arts (aka: Broadway Center or BCPA),www.broadwaycenter.org,901 Broadway,Suite 700,Tacoma,WA,98402-4415,47.255095,-122.440694
11-3200-7007,2011,Theater,"13 Playwrights, Inc. (aka: 13P)",13p.org,195 Willoughby Ave. #402,,Brooklyn,NY,11205-3831,40.692049,-73.964174
11-3200-7008,2011,Theater,In the Heart of the Beast Puppet and Mask Theatre,www.hobt.org,1500 E. Lake Street,,Minneapolis,MN,55407-1720,44.948376,-93.25363
11-3100-7151,2011,Music,"Buffalo Philharmonic Orchestra Society, Inc. (aka: Buffalo Philharmonic Orchestra (BPO))",,499 Franklin Street,Suite 4,Buffalo,NY,14202-1121,42.89981,-78.872125
11-3300-7010,2011,Dance,New York Live Arts Inc. (aka: Live Arts),dancetheaterworkshop.org,219 West 19th Street,,New York,NY,10011-4001,40.74195,-73.998118
11-3300-7011,2011,Dance,Ballet West (aka: N/A),www.balletwest.org,50 West 200 South,,Salt Lake City,UT,84101-1652,40.765012,-111.892556
11-3400-7005,2011,Media Arts,Center for Documentary Studies (aka: Full Frame Documentary Film Festival),www.fullframefest.org,320 Blackwell Street,,Durham,NC,27701-3662,35.993878,-78.903548
11-7200-7008,2011,Artist Communities,Djerassi Resident Artists Program,,2325 Bear Gulch Road,,Woodside,CA,94062-4405,37.378799,-122.297372
11-3400-7006,2011,Media Arts,"Jacob Burns Film Center, Inc. (aka: Jacob Burns Film Center)",www.burnsfilmcenter.org,405 Manville Road,,Pleasantville,NY,10570-2845,41.135061,-73.793357
11-6200-7004,2011,Local Arts Agencies,"Arts & Business Council of Miami, Inc.",www.ArtsBizMiami.org,PO Box 01-2100,,Miami,FL,33101-2011,25.778926,-80.197899
11-5400-7005,2011,Presenting,Ann Arbor Summer Festival,annarborsummerfestival.org,310 Depot Street,Suite 3,Ann Arbor,MI,48104-0971,42.287896,-83.744123
11-3300-7012,2011,Dance,Joe Goode Performance Group,www.joegoode.org,"499 Alabama St., #150",,San Francisco,CA,94110-1392,37.763057,-122.412154
11-3400-7007,2011,Media Arts,"Washington DC International Film Festival, Inc. (aka: Filmfest DC)",www.filmfestdc.org,P.O. Box 21396,,Washington,DC,20009-0896,38.918632,-77.03648
11-4400-7010,2011,Museum,Frick Collection (aka: the Frick),www.frick.org,1 East 70th Street,,New York,NY,10021-4981,40.771079,-73.967794
11-2800-7004,2011,Musical Theater,"Goodspeed Opera House Foundation, Inc. (aka: Goodspeed Musicals)",www.goodspeed.org,PO Box A,,East Haddam,CT,06423-0281,41.485478,-72.40318
11-3300-7013,2011,Dance,"Margaret Jenkins Dance Studio, Inc. (aka: Margaret Jenkins Dance Company)",www.mjdc.org,507 Polk St.,Ste. 320,San Francisco,CA,94102-3339,37.781349,-122.418858
11-3400-7008,2011,Media Arts,"Millennium Film Workshop, Inc.",www.millenniumfilm.org,66 East 4th Street,,New York,NY,10003-8903,40.726735,-73.990761
11-6200-7005,2011,Local Arts Agencies,Allied Arts of Greater Chattanooga (aka: ArtsBuild),alliedartschattanooga.org,406 Frazier Ave.,,Chattanooga,TN,37405-4174,35.061585,-85.304461
11-3200-7009,2011,Theater,"Fiji Theater Company, Inc. (aka: Ping Chong + Company)",,47 Great Jones Street,6th Floor,New York,NY,10012-1118,40.726967,-73.993026
11-3200-7010,2011,Theater,William Inge Festival Foundation (aka: William Inge Center for the Arts),,PO Box 747,,Independence,KS,67301-0708,37.226701,-95.71807
11-5400-7006,2011,Presenting,Lake Eden Arts Festival (aka: LEAF),,377 Lake Eden Road,,Black Mountain,NC,28711-8709,35.631451,-82.360977
11-4100-7003,2011,Visual Arts,"Women's Studio Workshop, Inc.",www.wsworkshop.org,P.O. Box 489,,Rosendale,NY,12472-0489,41.848228,-74.067921
11-2800-7005,2011,Musical Theater,"Puerto Rican Traveling Theatre Co., Inc. (aka: PRTT)",www.prtt.org,304 West 47th Street,,New York,NY,10036-3101,40.760474,-73.987682
11-3600-7005,2011,Opera,Seattle Opera,,1020 John Street,,Seattle,WA,98109-5319,47.619705,-122.336345
11-5500-7007,2011,Folk & Traditional Arts,Ohlone Community College District,www.ohlone.edu,43600 Mission Boulevard,P.O. Box 3909,Fremont,CA,94539-0390,37.528462,-121.918654
11-3100-7018,2011,Music,"Music at Angel Fire, Inc. (aka: Music from Angel Fire)",www.musicfromangelfire.org,P.O. Box 502,,Angel Fire,NM,87710-0502,36.398888,-105.287796
11-3200-7011,2011,Theater,"Asolo Theatre, Inc. (aka: Asolo Rep)",www.asolo.org,5555 N. Tamiami Trail,,Sarasota,FL,34243-2141,27.382037,-82.556933
11-5400-7007,2011,Presenting,AMP Concerts,www.ampconcerts.org,1013 Vassar Dr NE,,Albuquerque,NM,87106-2630,35.091437,-106.614245
11-4100-7004,2011,Visual Arts,"Appalachian Artisan Center of Kentucky, Inc. (aka: AAC)",,P.O. Box 833,16 West Main Street,Hindman,KY,41922-0833,0,0
